Título,Alcance,Código,Depende de,Estado,Habilita,Historias
Esqueleto + lista pública del Directorio,Mínimo,1,,Listo para tomar,,"P1 (base), P2 (base)"
Alta de centro con devolución del código raíz,Mínimo,2,Esqueleto + lista pública del Directorio (Acopio%20Venezuela%20%E2%80%94%20Tickets/Esqueleto%20+%20lista%20p%C3%BAblica%20del%20Directorio%20b473325cef6782e6945e81cfe3cf776a.csv),Listo para tomar,,R1
Buscar y filtrar el Directorio por texto / estado / municipio,Mínimo,3,Esqueleto + lista pública del Directorio (Acopio%20Venezuela%20%E2%80%94%20Tickets/Esqueleto%20+%20lista%20p%C3%BAblica%20del%20Directorio%20b473325cef6782e6945e81cfe3cf776a.csv),Listo para tomar,,P1
Acceso por código + editar ficha y necesidades + badge derivado,Mínimo,4,Alta de centro con devolución del código raíz (Acopio%20Venezuela%20%E2%80%94%20Tickets/Alta%20de%20centro%20con%20devoluci%C3%B3n%20del%20c%C3%B3digo%20ra%C3%ADz%2081d3325cef67828e96f601c021336e39.csv),Listo para tomar,,"R2, R3, P1 (filtro por categoría/urgencia)"
Reporte copiable en texto plano + compartir nativo,Mínimo,5,Acceso por código + editar ficha y necesidades + badge derivado (Acopio%20Venezuela%20%E2%80%94%20Tickets/Acceso%20por%20c%C3%B3digo%20+%20editar%20ficha%20y%20necesidades%20+%20b%20be43325cef678319a2d501b257928fb6.csv),Listo para tomar,,P3
"Inventario: entradas/salidas, listado y totales derivados",Mínimo,6,Acceso por código + editar ficha y necesidades + badge derivado (Acopio%20Venezuela%20%E2%80%94%20Tickets/Acceso%20por%20c%C3%B3digo%20+%20editar%20ficha%20y%20necesidades%20+%20b%20be43325cef678319a2d501b257928fb6.csv),Listo para tomar,,"R4, R5, V4"
Códigos de voluntario + permisos del voluntario,Mínimo,7,"Inventario: entradas/salidas, listado y totales derivados (Acopio%20Venezuela%20%E2%80%94%20Tickets/Inventario%20entradas%20salidas,%20listado%20y%20totales%20der%204593325cef678216bb758149f532cfbe.csv)",Listo para tomar,,"R6, V1, V2, V3"
Reportar un centro (público) → cola,Mínimo,8,Esqueleto + lista pública del Directorio (Acopio%20Venezuela%20%E2%80%94%20Tickets/Esqueleto%20+%20lista%20p%C3%BAblica%20del%20Directorio%20b473325cef6782e6945e81cfe3cf776a.csv),Listo para tomar,,P4
Moderación — núcleo,Mínimo,9,"Esqueleto + lista pública del Directorio (Acopio%20Venezuela%20%E2%80%94%20Tickets/Esqueleto%20+%20lista%20p%C3%BAblica%20del%20Directorio%20b473325cef6782e6945e81cfe3cf776a.csv), Reportar un centro (público) → cola (Acopio%20Venezuela%20%E2%80%94%20Tickets/Reportar%20un%20centro%20(p%C3%BAblico)%20%E2%86%92%20cola%20e283325cef6783dd85638197f22f503e.csv)",Listo para tomar,,"M1, M2, M6, M7"
Moderación — administración,Mínimo,10,Moderación — núcleo (Acopio%20Venezuela%20%E2%80%94%20Tickets/Moderaci%C3%B3n%20%E2%80%94%20n%C3%BAcleo%20e3f3325cef67836cbac781a9bc35b530.csv),Listo para tomar,,"M3, M4, M5, R7"
Contactos de emergencia en la home,Deseable,11,Moderación — núcleo (Acopio%20Venezuela%20%E2%80%94%20Tickets/Moderaci%C3%B3n%20%E2%80%94%20n%C3%BAcleo%20e3f3325cef67836cbac781a9bc35b530.csv),Listo para tomar,,"P5, M9"
Señales del inventario que empujan a actualizar la ficha,Deseable,12,"Inventario: entradas/salidas, listado y totales derivados (Acopio%20Venezuela%20%E2%80%94%20Tickets/Inventario%20entradas%20salidas,%20listado%20y%20totales%20der%204593325cef678216bb758149f532cfbe.csv)",Listo para tomar,,R8
PWA / Directorio offline,Deseable,13,Buscar y filtrar el Directorio por texto / estado / municipio (Acopio%20Venezuela%20%E2%80%94%20Tickets/Buscar%20y%20filtrar%20el%20Directorio%20por%20texto%20estado%20mu%200093325cef6782808c64813dd0fe29f4.csv),Listo para tomar,,P6
Aviso de ficha desactualizada (frescura),Deseable,14,Acceso por código + editar ficha y necesidades + badge derivado (Acopio%20Venezuela%20%E2%80%94%20Tickets/Acceso%20por%20c%C3%B3digo%20+%20editar%20ficha%20y%20necesidades%20+%20b%20be43325cef678319a2d501b257928fb6.csv),Listo para tomar,,Frescura (P2)
Autoservicio de recuperación por OTP,Deseable,15,Moderación — administración (Acopio%20Venezuela%20%E2%80%94%20Tickets/Moderaci%C3%B3n%20%E2%80%94%20administraci%C3%B3n%200153325cef6782ad821981ecb55c7c6f.csv),Listo para tomar,,Extiende R7/M4
